CustomerID,Recency,Frequency,Monetary,TotalQuantity,AverageOrderValue,UniqueProducts,UniqueCategories,ReturnRate,CancellationRate,AverageDiscount,AverageOrderFrequency,first_order_date,last_order_date,ActiveDays
CUST000001,156,1,446.48,1,446.48,1,1,0.0,1.0,0.1,1.0,2024-07-26,2024-07-26,1
CUST000002,1062,3,1389.9299999999998,9,463.30999999999995,3,2,0.3333333333333333,0.0,0.08333333333333333,0.005172413793103448,2020-07-02,2022-02-01,580
CUST000003,1462,1,1116.91,5,1116.91,1,1,0.0,0.0,0.15,1.0,2020-12-28,2020-12-28,1
CUST000004,195,3,2660.06,7,886.6866666666666,3,2,0.0,0.0,0.18333333333333335,0.007978723404255319,2023-06-08,2024-06-17,376
CUST000005,639,1,1089.56,4,1089.56,1,1,0.0,0.0,0.2,1.0,2023-03-31,2023-03-31,1
CUST000006,248,4,2831.85,11,707.9625,4,3,0.25,0.0,0.0625,0.0028228652081863093,2020-06-09,2024-04-25,1417
CUST000007,1545,1,450.53,1,450.53,1,1,0.0,0.0,0.2,1.0,2020-10-06,2020-10-06,1
CUST000008,52,3,4116.16,9,1372.0533333333333,3,2,0.0,0.0,0.16666666666666666,0.002175489485134155,2021-01-29,2024-11-07,1379
CUST000009,257,2,2120.69,8,1060.345,2,2,0.0,0.0,0.15,0.004807692307692308,2023-02-26,2024-04-16,416
CUST000010,40,2,1201.0,5,600.5,2,2,0.0,0.0,0.125,0.0072992700729927005,2024-02-20,2024-11-19,274
CUST000011,65,3,2852.02,7,950.6733333333333,3,2,0.0,0.0,0.11666666666666665,0.004172461752433936,2022-11-07,2024-10-25,719
CUST000012,569,1,2448.98,4,2448.98,1,1,0.0,1.0,0.0,1.0,2023-06-09,2023-06-09,1
CUST000014,373,2,3768.41,8,1884.205,2,2,0.0,0.0,0.0,0.002506265664160401,2021-10-16,2023-12-22,798
CUST000015,115,2,776.81,4,388.405,2,2,0.0,0.0,0.125,0.001455604075691412,2020-12-02,2024-09-05,1374
CUST000016,492,2,573.05,3,286.525,2,2,0.0,0.0,0.125,0.0016433853738701725,2020-04-26,2023-08-25,1217
CUST000017,7,2,352.57,5,176.285,2,2,0.0,0.0,0.175,0.0091324200913242,2024-05-18,2024-12-22,219
CUST000018,805,3,3240.99,7,1080.33,3,3,0.0,0.0,0.11666666666666665,0.004155124653739612,2020-10-25,2022-10-16,722
CUST000019,879,1,1371.4,5,1371.4,1,1,0.0,0.0,0.05,1.0,2022-08-03,2022-08-03,1
CUST000020,65,1,1394.52,5,1394.52,1,1,0.0,0.0,0.0,1.0,2024-10-25,2024-10-25,1
CUST000021,364,2,2554.11,6,1277.055,2,2,0.0,0.0,0.075,0.0016906170752324597,2020-10-05,2023-12-31,1183
CUST000022,1068,3,3460.8,10,1153.6000000000001,3,2,0.0,0.0,0.18333333333333335,0.0054446460980036296,2020-07-25,2022-01-26,551
CUST000023,332,1,1707.39,4,1707.39,1,1,0.0,0.0,0.2,1.0,2024-02-01,2024-02-01,1
CUST000024,964,1,841.88,4,841.88,1,1,0.0,0.0,0.05,1.0,2022-05-10,2022-05-10,1
CUST000025,573,2,627.88,5,313.94,2,2,0.0,0.5,0.225,0.0023094688221709007,2021-01-21,2023-06-05,866
CUST000026,569,2,2405.37,5,1202.685,2,1,0.0,0.0,0.0,0.010752688172043012,2022-12-06,2023-06-09,186
CUST000027,154,2,1713.44,4,856.72,2,2,0.0,0.0,0.125,0.00258732212160414,2022-06-17,2024-07-28,773
CUST000029,1403,3,2454.3599999999997,8,818.1199999999999,3,3,0.0,0.0,0.016666666666666666,0.016042780748663103,2020-08-23,2021-02-25,187
CUST000030,470,4,968.95,9,242.2375,4,3,0.0,0.0,0.025,0.0030651340996168583,2020-02-20,2023-09-16,1305
CUST000031,260,4,4627.38,13,1156.845,4,4,0.0,0.0,0.0875,0.006600660066006601,2022-08-17,2024-04-13,606
CUST000032,463,2,897.27,4,448.635,2,2,0.0,0.0,0.07500000000000001,0.0018331805682859762,2020-09-28,2023-09-23,1091
CUST000033,1241,2,722.64,6,361.32,2,2,0.5,0.0,0.0,0.00423728813559322,2020-04-22,2021-08-06,472
CUST000037,399,2,3833.8599999999997,8,1916.9299999999998,2,2,0.5,0.0,0.1,0.001422475106685633,2020-01-21,2023-11-26,1406
CUST000038,895,2,907.23,5,453.615,2,2,0.0,0.0,0.15000000000000002,0.0025157232704402514,2020-05-15,2022-07-18,795
CUST000039,7,2,128.68,7,64.34,2,1,0.0,0.0,0.075,0.006734006734006734,2024-03-01,2024-12-22,297
CUST000040,1349,1,191.74,1,191.74,1,1,0.0,0.0,0.25,1.0,2021-04-20,2021-04-20,1
CUST000041,636,3,1793.55,10,597.85,3,2,0.0,0.0,0.03333333333333333,0.003289473684210526,2020-10-04,2023-04-03,912
CUST000042,1071,2,1298.03,4,649.015,2,2,0.0,0.0,0.025,0.006622516556291391,2021-03-28,2022-01-23,302
CUST000043,480,1,497.33,2,497.33,1,1,0.0,0.0,0.0,1.0,2023-09-06,2023-09-06,1
CUST000044,344,3,3636.77,10,1212.2566666666667,3,2,0.0,0.0,0.016666666666666666,0.0036540803897685747,2021-10-22,2024-01-20,821
CUST000046,235,4,2558.5299999999997,7,639.6324999999999,4,3,0.0,0.0,0.07500000000000001,0.002772002772002772,2020-05-27,2024-05-08,1443
CUST000047,1280,2,1081.3899999999999,6,540.6949999999999,2,2,0.0,0.0,0.05,0.006896551724137931,2020-09-12,2021-06-28,290
CUST000048,1108,1,1463.6,3,1463.6,1,1,0.0,0.0,0.1,1.0,2021-12-17,2021-12-17,1
CUST000049,724,2,2925.89,6,1462.945,2,2,0.0,0.0,0.025,0.006756756756756757,2022-03-16,2023-01-05,296
CUST000050,337,2,2380.86,5,1190.43,2,2,0.0,0.0,0.07500000000000001,0.0029455081001472753,2022-03-20,2024-01-27,679
CUST000051,218,1,758.83,3,758.83,1,1,0.0,0.0,0.15,1.0,2024-05-25,2024-05-25,1
CUST000052,1708,1,895.66,2,895.66,1,1,0.0,0.0,0.0,1.0,2020-04-26,2020-04-26,1
CUST000053,905,3,1727.68,7,575.8933333333333,3,3,0.0,0.0,0.08333333333333333,0.0037641154328732747,2020-05-03,2022-07-08,797
CUST000054,490,3,3251.9,10,1083.9666666666667,3,2,0.3333333333333333,0.0,0.13333333333333333,0.003105590062111801,2021-01-04,2023-08-27,966
CUST000055,619,2,4507.969999999999,10,2253.9849999999997,2,2,0.0,0.0,0.15000000000000002,0.001990049751243781,2020-07-20,2023-04-20,1005
CUST000056,454,2,3346.4300000000003,7,1673.2150000000001,2,2,0.0,0.0,0.175,0.0038240917782026767,2022-04-28,2023-10-02,523
CUST000058,85,2,651.0300000000001,4,325.51500000000004,2,2,0.0,0.0,0.1,0.0017436791630340018,2021-08-16,2024-10-05,1147
CUST000059,625,1,1035.29,2,1035.29,1,1,0.0,0.0,0.1,1.0,2023-04-14,2023-04-14,1
