CustomerID,Recency,Frequency,Monetary,TotalQuantity,AverageOrderValue,UniqueProducts,UniqueCategories,ReturnRate,CancellationRate,AverageDiscount,AverageOrderFrequency,first_order_date,last_order_date,ActiveDays,customer_segment,ExpectedPurchaseCycle,OverdueRatio,ChurnRiskScore,CustomerLoyaltyIndex,RetentionPriority
CUST000001,156,1,446.48,1,446.48,1,1,0.0,1.0,0.1,1.0,2024-07-26,2024-07-26,1,3,90.0,1.73,0.4274,14.18,Friction Resolution
CUST000002,1062,3,1389.9299999999998,9,463.31,3,2,0.3333333333333333,0.0,0.0833333333333333,0.0051724137931034,2020-07-02,2022-02-01,580,1,290.0,3.66,1.0,54.82,Re-engagement Push
CUST000003,1462,1,1116.91,5,1116.91,1,1,0.0,0.0,0.15,1.0,2020-12-28,2020-12-28,1,0,90.0,16.24,1.0,22.16,Reactivation Offer
CUST000004,195,3,2660.06,7,886.6866666666666,3,2,0.0,0.0,0.1833333333333333,0.0079787234042553,2023-06-08,2024-06-17,376,1,188.0,1.04,0.5342,64.61,Cross-sell Campaign
CUST000005,639,1,1089.56,4,1089.56,1,1,0.0,0.0,0.2,1.0,2023-03-31,2023-03-31,1,0,90.0,7.1,1.0,21.84,Reactivation Offer
CUST000006,248,4,2831.85,11,707.9625,4,3,0.25,0.0,0.0625,0.0028228652081863,2020-06-09,2024-04-25,1417,2,365.0,0.68,0.6795,82.82,VIP Winback Alert
CUST000007,1545,1,450.53,1,450.53,1,1,0.0,0.0,0.2,1.0,2020-10-06,2020-10-06,1,0,90.0,17.17,1.0,14.24,Reactivation Offer
CUST000008,52,3,4116.16,9,1372.0533333333333,3,2,0.0,0.0,0.1666666666666666,0.0021754894851341,2021-01-29,2024-11-07,1379,1,365.0,0.14,0.1425,83.36,Cross-sell Campaign
CUST000009,257,2,2120.69,8,1060.345,2,2,0.0,0.0,0.15,0.0048076923076923,2023-02-26,2024-04-16,416,1,365.0,0.7,0.7041,51.28,Re-engagement Push
CUST000010,40,2,1201.0,5,600.5,2,2,0.0,0.0,0.125,0.0072992700729927,2024-02-20,2024-11-19,274,1,274.0,0.15,0.1096,40.49,Cross-sell Campaign
CUST000011,65,3,2852.02,7,950.6733333333332,3,2,0.0,0.0,0.1166666666666666,0.0041724617524339,2022-11-07,2024-10-25,719,1,359.5,0.18,0.1781,69.75,Cross-sell Campaign
CUST000012,569,1,2448.98,4,2448.98,1,1,0.0,1.0,0.0,1.0,2023-06-09,2023-06-09,1,3,90.0,6.32,1.0,35.31,Friction Resolution
CUST000014,373,2,3768.41,8,1884.205,2,2,0.0,0.0,0.0,0.0025062656641604,2021-10-16,2023-12-22,798,1,365.0,1.02,1.0,66.49,Re-engagement Push
CUST000015,115,2,776.81,4,388.405,2,2,0.0,0.0,0.125,0.0014556040756914,2020-12-02,2024-09-05,1374,1,365.0,0.32,0.3151,47.73,Cross-sell Campaign
CUST000016,492,2,573.05,3,286.525,2,2,0.0,0.0,0.125,0.0016433853738701,2020-04-26,2023-08-25,1217,1,365.0,1.35,1.0,43.73,Re-engagement Push
CUST000017,7,2,352.57,5,176.285,2,2,0.0,0.0,0.175,0.0091324200913242,2024-05-18,2024-12-22,219,1,219.0,0.03,0.0192,29.89,Cross-sell Campaign
CUST000018,805,3,3240.99,7,1080.33,3,3,0.0,0.0,0.1166666666666666,0.0041551246537396,2020-10-25,2022-10-16,722,1,361.0,2.23,1.0,72.22,Re-engagement Push
CUST000019,879,1,1371.4,5,1371.4,1,1,0.0,0.0,0.05,1.0,2022-08-03,2022-08-03,1,0,90.0,9.77,1.0,24.93,Reactivation Offer
CUST000020,65,1,1394.52,5,1394.52,1,1,0.0,0.0,0.0,1.0,2024-10-25,2024-10-25,1,0,90.0,0.72,0.1781,25.17,Reactivation Offer
CUST000021,364,2,2554.11,6,1277.055,2,2,0.0,0.0,0.075,0.0016906170752324,2020-10-05,2023-12-31,1183,1,365.0,1.0,0.9973,63.69,Re-engagement Push
