YearMonth,Year,Month,TotalOrders,ActiveCustomers,TotalQuantitySold,GrossMerchandiseValue,AverageOrderValue,AverageUnitPrice,AverageDiscount,ReturnedOrders,CancelledOrders,DeliveredOrders,ReturnRate,CancellationRate,AverageUnitsPerOrder,GrossDiscountAmount,NetRealizedRevenue,MoM_GMV_Growth,MoM_Order_Growth
2020-01,2020,1,1730,1697,5225,1637069.4,946.2828901734104,307.1257861271676,0.07242774566473988,57,55,1314,0.0329,0.0318,3.02,116688.1345,1517288.25,0.0,0.0
2020-02,2020,2,1490,1473,4343,1339388.21,898.9182617449665,307.3359395973154,0.0712751677852349,40,40,1143,0.0268,0.0268,2.91,95613.3225,1278797.7,-0.1818,-0.1387
2020-03,2020,3,1685,1653,5050,1587125.66,941.9143382789317,311.19160830860534,0.07219584569732938,72,58,1237,0.0427,0.0344,3.0,117150.48999999999,1473576.9500000002,0.185,0.1309
2020-04,2020,4,1692,1666,5156,1588347.29,938.7395330969267,303.121158392435,0.07449763593380615,69,49,1238,0.0408,0.029,3.05,112849.57800000001,1484603.98,0.0008,0.0042
2020-05,2020,5,1672,1639,5061,1533834.17,917.3649342105263,299.55404306220095,0.07700358851674641,41,43,1285,0.0245,0.0257,3.03,116265.418,1463165.75,-0.0343,-0.0118
2020-06,2020,6,1633,1610,4883,1500269.29,918.7197121861605,303.47583588487447,0.07529087568891611,56,35,1215,0.0343,0.0214,2.99,115004.6935,1420512.3599999999,-0.0219,-0.0233
2020-07,2020,7,1687,1652,5061,1552981.94,920.5583521043271,304.6919205690575,0.07614107883817428,51,52,1264,0.0302,0.0308,3.0,117633.7355,1458487.41,0.0351,0.0331
2020-08,2020,8,1783,1753,5439,1640874.93,920.288799775659,300.1926079641055,0.07484576556365675,59,50,1353,0.0331,0.028,3.05,121617.34049999999,1537473.65,0.0566,0.0569
2020-09,2020,9,1679,1649,5023,1554682.21,925.9572424061942,304.631137581894,0.07450863609291246,50,57,1264,0.0298,0.0339,2.99,111720.9625,1459603.04,-0.0525,-0.0583
2020-10,2020,10,1647,1621,4908,1515403.62,920.0993442622952,304.12552519732844,0.072829386763813,41,56,1220,0.0249,0.034,2.98,107363.151,1422275.2799999998,-0.0253,-0.0191
2020-11,2020,11,1639,1598,4866,1502232.24,916.5541427699817,305.3723001830384,0.07397803538743136,53,49,1218,0.0323,0.0299,2.97,111778.70800000001,1401786.1,-0.0087,-0.0049
2020-12,2020,12,1729,1700,5193,1577655.06,912.4667784846732,299.199005205321,0.07353961827646038,56,47,1289,0.0324,0.0272,3.0,114474.587,1483825.6400000001,0.0502,0.0549
2021-01,2021,1,1764,1737,5255,1575253.23,893.0006972789115,303.05646825396826,0.07650226757369616,46,53,1344,0.0261,0.03,2.98,123388.079,1480621.95,-0.0015,0.0202
2021-02,2021,2,1516,1487,4524,1425365.99,940.2150329815304,307.2674076517151,0.07674802110817942,48,44,1157,0.0317,0.029,2.98,102305.572,1338534.67,-0.0952,-0.1406
2021-03,2021,3,1620,1588,4894,1484165.89,916.1517839506172,303.40854320987654,0.07314814814814814,52,46,1181,0.0321,0.0284,3.02,105301.5565,1386630.6,0.0413,0.0686
2021-04,2021,4,1594,1567,4818,1470885.02,922.7635006273525,304.3834190715182,0.07728983688833124,69,54,1180,0.0433,0.0339,3.02,112686.8555,1352864.1099999999,-0.0089,-0.016
2021-05,2021,5,1716,1680,5061,1571842.25,915.9919871794872,305.4913111888112,0.07354312354312355,51,51,1272,0.0297,0.0297,2.95,113701.65049999999,1460349.48,0.0686,0.0765
