ProductID,ProductName,Category,YearMonth,Year,Month,MonthlyQuantity,MonthlyRevenue,MonthlyOrderCount,UniqueCustomers,AverageUnitPrice,AverageDiscount,ReturnRate,CancellationRate,MoM_QuantityGrowth,MoM_RevenueGrowth,SeasonalIndex
P00001,Wireless Earbuds,Books,2020-01,2020,1,17,6503.639999999999,7,7,327.2642857142857,0.07857142857142858,0.0,0.14285714285714285,0.0,0.0,1.0158
P00001,Wireless Earbuds,Clothing,2020-01,2020,1,20,5780.42,7,7,285.99857142857144,0.05,0.14285714285714285,0.0,0.1765,-0.1112,1.1951
P00001,Wireless Earbuds,Electronics,2020-01,2020,1,15,4692.21,4,4,266.22249999999997,0.0125,0.0,0.0,-0.25,-0.1883,0.8963
P00001,Wireless Earbuds,Home & Kitchen,2020-01,2020,1,30,11957.01,10,10,373.95500000000004,0.08,0.0,0.0,1.0,1.5483,1.7926
P00001,Wireless Earbuds,Sports & Outdoors,2020-01,2020,1,21,9994.36,6,6,423.26,0.008333333333333333,0.0,0.0,-0.3,-0.1641,1.2548
P00001,Wireless Earbuds,Toys & Games,2020-01,2020,1,15,6077.18,7,7,365.79714285714283,0.028571428571428574,0.0,0.0,-0.2857,-0.3919,0.8963
P00001,Wireless Earbuds,Books,2020-02,2020,2,11,4876.6900000000005,5,5,431.22200000000004,0.06999999999999999,0.0,0.0,-0.2667,-0.1975,0.6573
P00001,Wireless Earbuds,Clothing,2020-02,2020,2,11,2573.93,4,4,207.6075,0.1,0.0,0.0,0.0,-0.4722,0.6573
P00001,Wireless Earbuds,Electronics,2020-02,2020,2,11,3023.68,3,3,255.92666666666665,0.06666666666666667,0.0,0.0,0.0,0.1747,0.6573
P00001,Wireless Earbuds,Home & Kitchen,2020-02,2020,2,11,5382.8099999999995,3,3,498.31333333333333,0.08333333333333333,0.0,0.0,0.0,0.7802,0.6573
P00001,Wireless Earbuds,Sports & Outdoors,2020-02,2020,2,22,8291.01,6,6,384.4883333333333,0.075,0.16666666666666666,0.0,1.0,0.5403,1.3146
P00001,Wireless Earbuds,Toys & Games,2020-02,2020,2,10,4907.61,5,5,455.166,0.05,0.0,0.2,-0.5455,-0.4081,0.5975
P00001,Wireless Earbuds,Books,2020-03,2020,3,18,4216.78,6,6,231.98333333333332,0.09166666666666667,0.0,0.0,0.8,-0.1408,1.0756
P00001,Wireless Earbuds,Clothing,2020-03,2020,3,24,8543.85,7,7,359.3314285714286,0.10714285714285714,0.14285714285714285,0.0,0.3333,1.0262,1.4341
P00001,Wireless Earbuds,Electronics,2020-03,2020,3,17,5533.96,5,5,288.03200000000004,0.07,0.2,0.0,-0.2917,-0.3523,1.0158
P00001,Wireless Earbuds,Home & Kitchen,2020-03,2020,3,13,4021.87,5,5,348.904,0.13,0.0,0.0,-0.2353,-0.2732,0.7768
P00001,Wireless Earbuds,Sports & Outdoors,2020-03,2020,3,18,5070.26,7,7,320.81714285714287,0.05714285714285715,0.0,0.14285714285714285,0.3846,0.2607,1.0756
P00001,Wireless Earbuds,Toys & Games,2020-03,2020,3,13,5117.33,4,4,375.8025,0.025,0.0,0.0,-0.2778,0.0093,0.7768
P00001,Wireless Earbuds,Books,2020-04,2020,4,13,1762.3899999999999,4,4,163.875,0.1,0.0,0.0,0.0,-0.6556,0.7768
P00001,Wireless Earbuds,Clothing,2020-04,2020,4,20,5915.44,7,7,320.5214285714286,0.08571428571428572,0.14285714285714285,0.14285714285714285,0.5385,2.3565,1.1951
P00001,Wireless Earbuds,Electronics,2020-04,2020,4,23,4800.39,7,7,237.96571428571428,0.1285714285714286,0.0,0.0,0.15,-0.1885,1.3743
P00001,Wireless Earbuds,Home & Kitchen,2020-04,2020,4,40,10178.46,12,12,280.5108333333333,0.1625,0.0,0.08333333333333333,0.7391,1.1203,2.3901
P00001,Wireless Earbuds,Sports & Outdoors,2020-04,2020,4,8,4223.280000000001,3,3,536.5,0.09999999999999999,0.0,0.0,-0.8,-0.5851,0.478
P00001,Wireless Earbuds,Toys & Games,2020-04,2020,4,25,9879.24,7,7,397.36285714285714,0.07857142857142858,0.0,0.14285714285714285,2.125,1.3392,1.4938
P00001,Wireless Earbuds,Books,2020-05,2020,5,23,7982.77,8,8,359.43625,0.06875,0.0,0.125,-0.08,-0.192,1.3743
P00001,Wireless Earbuds,Clothing,2020-05,2020,5,20,4408.99,8,8,215.64999999999998,0.0625,0.0,0.0,-0.1304,-0.4477,1.1951
P00001,Wireless Earbuds,Electronics,2020-05,2020,5,12,1593.8,3,3,152.20000000000002,0.11666666666666665,0.0,0.0,-0.4,-0.6385,0.717
P00001,Wireless Earbuds,Home & Kitchen,2020-05,2020,5,26,6280.4,7,7,220.7214285714286,0.07142857142857142,0.0,0.0,1.1667,2.9405,1.5536
P00001,Wireless Earbuds,Sports & Outdoors,2020-05,2020,5,28,9687.689999999999,9,9,331.2711111111111,0.08888888888888889,0.2222222222222222,0.1111111111111111,0.0769,0.5425,1.6731
P00001,Wireless Earbuds,Toys & Games,2020-05,2020,5,11,3348.97,3,3,312.43333333333334,0.16666666666666666,0.0,0.0,-0.6071,-0.6543,0.6573
P00001,Wireless Earbuds,Books,2020-06,2020,6,27,6510.81,9,9,260.15,0.08888888888888889,0.0,0.0,1.4545,0.9441,1.6133
P00001,Wireless Earbuds,Clothing,2020-06,2020,6,22,7646.01,8,8,327.62375,0.0875,0.0,0.125,-0.1852,0.1744,1.3146
P00001,Wireless Earbuds,Electronics,2020-06,2020,6,9,2517.57,6,6,318.59833333333336,0.10833333333333334,0.0,0.0,-0.5909,-0.6707,0.5378
P00001,Wireless Earbuds,Home & Kitchen,2020-06,2020,6,15,5120.63,5,5,306.502,0.06,0.0,0.2,0.6667,1.034,0.8963
P00001,Wireless Earbuds,Sports & Outdoors,2020-06,2020,6,19,4995.200000000001,6,6,204.75833333333333,0.10833333333333334,0.0,0.0,0.2667,-0.0245,1.1353
P00001,Wireless Earbuds,Toys & Games,2020-06,2020,6,17,5942.1,8,8,292.82625,0.05,0.125,0.0,-0.1053,0.1896,1.0158
P00001,Wireless Earbuds,Books,2020-07,2020,7,21,6482.77,8,8,349.79,0.14375,0.0,0.0,0.2353,0.091,1.2548
P00001,Wireless Earbuds,Clothing,2020-07,2020,7,27,7779.06,9,9,298.59222222222223,0.09444444444444446,0.0,0.1111111111111111,0.2857,0.2,1.6133
P00001,Wireless Earbuds,Electronics,2020-07,2020,7,13,3085.17,7,7,205.6657142857143,0.03571428571428571,0.0,0.0,-0.5185,-0.6034,0.7768
P00001,Wireless Earbuds,Home & Kitchen,2020-07,2020,7,17,3787.26,4,4,271.1275,0.1,0.0,0.0,0.3077,0.2276,1.0158
P00001,Wireless Earbuds,Sports & Outdoors,2020-07,2020,7,13,2729.58,5,5,191.84,0.07,0.0,0.2,-0.2353,-0.2793,0.7768
P00001,Wireless Earbuds,Toys & Games,2020-07,2020,7,30,10410.88,9,9,338.21000000000004,0.044444444444444446,0.1111111111111111,0.0,1.3077,2.8141,1.7926
P00001,Wireless Earbuds,Books,2020-08,2020,8,21,6280.34,6,6,281.9783333333333,0.08333333333333333,0.0,0.0,-0.3,-0.3968,1.2548
P00001,Wireless Earbuds,Clothing,2020-08,2020,8,17,4113.03,6,6,284.7083333333333,0.08333333333333333,0.0,0.0,-0.1905,-0.3451,1.0158
P00001,Wireless Earbuds,Electronics,2020-08,2020,8,18,5558.3,7,7,317.61571428571426,0.09999999999999999,0.0,0.0,0.0588,0.3514,1.0756
P00001,Wireless Earbuds,Home & Kitchen,2020-08,2020,8,18,6607.719999999999,6,6,410.6133333333334,0.08333333333333333,0.0,0.0,0.0,0.1888,1.0756
P00001,Wireless Earbuds,Sports & Outdoors,2020-08,2020,8,17,4495.87,7,7,277.70142857142855,0.07857142857142858,0.0,0.14285714285714285,-0.0556,-0.3196,1.0158
P00001,Wireless Earbuds,Toys & Games,2020-08,2020,8,20,3676.67,8,8,246.84625,0.075,0.125,0.0,0.1765,-0.1822,1.1951
P00001,Wireless Earbuds,Books,2020-09,2020,9,17,4049.77,5,5,181.93200000000002,0.02,0.0,0.2,-0.15,0.1015,1.0158
P00001,Wireless Earbuds,Clothing,2020-09,2020,9,34,10345.47,8,8,312.22375,0.075,0.0,0.0,1.0,1.5546,2.0316
P00001,Wireless Earbuds,Electronics,2020-09,2020,9,25,7507.589999999999,7,7,319.88714285714286,0.12142857142857144,0.0,0.0,-0.2647,-0.2743,1.4938
P00001,Wireless Earbuds,Home & Kitchen,2020-09,2020,9,19,6429.45,5,5,345.69,0.04,0.4,0.0,-0.24,-0.1436,1.1353
P00001,Wireless Earbuds,Sports & Outdoors,2020-09,2020,9,7,1644.6999999999998,4,4,269.8175,0.1,0.25,0.0,-0.6316,-0.7442,0.4183
P00001,Wireless Earbuds,Toys & Games,2020-09,2020,9,16,5823.57,7,7,341.1485714285714,0.16428571428571428,0.0,0.0,1.2857,2.5408,0.9561
P00001,Wireless Earbuds,Books,2020-10,2020,10,21,8438.62,8,8,368.1375,0.1,0.125,0.0,0.3125,0.449,1.2548
P00001,Wireless Earbuds,Clothing,2020-10,2020,10,20,5785.67,5,5,287.658,0.09,0.0,0.0,-0.0476,-0.3144,1.1951
P00001,Wireless Earbuds,Electronics,2020-10,2020,10,18,8950.14,7,7,393.3285714285715,0.05714285714285715,0.0,0.0,-0.1,0.5469,1.0756
P00001,Wireless Earbuds,Home & Kitchen,2020-10,2020,10,8,2215.2,2,2,331.71500000000003,0.05,0.0,0.0,-0.5556,-0.7525,0.478
P00001,Wireless Earbuds,Sports & Outdoors,2020-10,2020,10,22,6509.85,6,6,283.77333333333337,0.08333333333333333,0.16666666666666666,0.0,1.75,1.9387,1.3146
P00001,Wireless Earbuds,Toys & Games,2020-10,2020,10,6,989.59,2,2,189.93,0.25,0.0,0.0,-0.7273,-0.848,0.3585
P00001,Wireless Earbuds,Books,2020-11,2020,11,10,2836.2,4,4,317.9325,0.025,0.0,0.0,0.6667,1.866,0.5975
P00001,Wireless Earbuds,Clothing,2020-11,2020,11,32,12074.64,8,8,351.8425,0.09375,0.0,0.0,2.2,3.2573,1.9121
P00001,Wireless Earbuds,Electronics,2020-11,2020,11,16,5718.51,4,4,347.855,0.0625,0.0,0.0,-0.5,-0.5264,0.9561
P00001,Wireless Earbuds,Home & Kitchen,2020-11,2020,11,14,2383.04,5,5,197.03000000000003,0.11000000000000001,0.0,0.0,-0.125,-0.5833,0.8366
P00001,Wireless Earbuds,Sports & Outdoors,2020-11,2020,11,20,3541.0400000000004,5,5,168.05599999999998,0.09,0.0,0.0,0.4286,0.4859,1.1951
P00001,Wireless Earbuds,Toys & Games,2020-11,2020,11,16,4824.139999999999,6,6,275.5783333333333,0.05000000000000001,0.0,0.0,-0.2,0.3624,0.9561
P00001,Wireless Earbuds,Books,2020-12,2020,12,25,9900.59,6,6,392.5683333333333,0.075,0.0,0.16666666666666666,0.5625,1.0523,1.4938
P00001,Wireless Earbuds,Clothing,2020-12,2020,12,17,3823.7400000000002,5,5,234.25799999999998,0.06,0.0,0.0,-0.32,-0.6138,1.0158
P00001,Wireless Earbuds,Electronics,2020-12,2020,12,11,3691.7000000000003,3,3,380.6233333333333,0.15,0.0,0.0,-0.3529,-0.0345,0.6573
P00001,Wireless Earbuds,Home & Kitchen,2020-12,2020,12,16,5639.6,6,6,309.87333333333333,0.06666666666666667,0.0,0.0,0.4545,0.5276,0.9561
P00001,Wireless Earbuds,Sports & Outdoors,2020-12,2020,12,15,4590.8,5,5,337.326,0.1,0.2,0.0,-0.0625,-0.186,0.8963
P00001,Wireless Earbuds,Toys & Games,2020-12,2020,12,27,6994.570000000001,8,8,301.0375,0.06875,0.125,0.0,0.8,0.5236,1.6133
P00001,Wireless Earbuds,Books,2021-01,2021,1,10,2419.3599999999997,4,4,192.53,0.0,0.0,0.0,-0.6296,-0.6541,0.5975
P00001,Wireless Earbuds,Clothing,2021-01,2021,1,10,2865.13,5,5,292.342,0.04,0.0,0.0,0.0,0.1843,0.5975
P00001,Wireless Earbuds,Electronics,2021-01,2021,1,11,3314.08,3,3,293.90333333333336,0.03333333333333333,0.0,0.0,0.1,0.1567,0.6573
