ProductID,ProductName,TotalQuantity,TotalRevenue,OrderCount,AverageOrderValue,AveragePrice,AverageDiscount,ReturnRate,CancellationRate,UniqueCustomers,UniqueCategories,UniqueBrands,RecentDemand,HistoricalAverageDemand,DemandVolatility,DemandGrowth,repeat_customers,repeat_customer_ratio,avg_customer_frequency_for_product,Category,Brand,DemandOpportunityScore,DemandVolatilityIndex,RealizedUnitPrice,DiscountDepth,StockoutRiskLevel,RecommendedAction
P00001,Wireless Earbuds,6008,1834207.58,2008,913.4499900398408,300.8321364541833,0.0775647410358565,0.0323705179282868,0.0283864541832669,1982,6,10,278,3.292054794520548,3.515421444946879,-0.061714010948365,25,0.0126135216952573,1.0131180625630676,Clothing,Apex,41.0,1.0678,277.5,0.0776,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00002,Bluetooth Speaker,5782,1803356.76,1913,942.6851855723994,310.94086774699423,0.074803972817564,0.021955044432828,0.0282279142707788,1880,6,10,338,3.168219178082192,3.421051693379789,0.1853837580229831,32,0.0170212765957446,1.0175531914893616,Electronics,KiddoFun,65.0,1.0798,287.68,0.0748,High Stockout Risk,Increase safety stock buffer & prioritize supplier SLA
P00003,Smartphone Case,6060,1875421.41,1989,942.896636500754,307.1540774258421,0.0730266465560583,0.0296631473102061,0.028657616892911,1955,6,10,289,3.32054794520548,3.481583711213609,-0.0329574624129079,34,0.017391304347826,1.017391304347826,Toys & Games,Apex,62.0,1.0485,284.72,0.073,Stable Replenishment,Maintain automated baseline replenishment cadence
P00004,USB-C Charger,5811,1763075.26,1958,900.4470173646578,303.00051072522984,0.0806435137895812,0.0316649642492339,0.0337078651685393,1930,6,10,282,3.184109589041096,3.348714991343217,-0.0159467676246199,28,0.0145077720207253,1.0145077720207254,Toys & Games,HomeEase,31.0,1.0517,278.57,0.0806,Stable Replenishment,Maintain automated baseline replenishment cadence
P00005,Laptop Sleeve,5992,1848297.8,1996,926.0009018036072,304.3441633266533,0.0709168336673346,0.0295591182364729,0.0230460921843687,1953,6,10,258,3.283287671232877,3.516918716073405,-0.1268914107699155,43,0.0220174091141833,1.0220174091141834,Clothing,UrbanStyle,37.0,1.0712,282.76,0.0709,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00006,Gaming Mouse,6170,1895103.98,2010,942.8378009950248,303.37016915422885,0.0733333333333333,0.0333333333333333,0.0378109452736318,1975,6,10,254,3.3808219178082197,3.4187249443518186,-0.1652260039618224,35,0.0177215189873417,1.017721518987342,Sports & Outdoors,FitLife,45.0,1.0112,281.12,0.0733,Overstock Risk,Deploy targeted promotional markdown to stimulate velocity
P00007,Mechanical Keyboard,6161,1906963.54,2034,937.5435299901671,306.5984611602753,0.0749754178957718,0.0309734513274336,0.0324483775811209,1991,6,10,328,3.3758904109589043,3.611031706864903,0.0795505780086205,43,0.0215971873430436,1.0215971873430436,Electronics,CoreTech,90.0,1.0696,283.61,0.075,High Stockout Risk,Increase safety stock buffer & prioritize supplier SLA
P00008,4K Monitor,6111,1866774.35,2006,930.5953888334996,298.1829461615155,0.0747756729810568,0.0284147557328015,0.0388833499501495,1976,6,10,354,3.348493150684932,3.57411797150191,0.1746577210494735,30,0.0151821862348178,1.0151821862348178,Toys & Games,KiddoFun,82.0,1.0674,275.89,0.0748,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00009,Portable SSD 1TB,5996,1819377.38,2030,896.2450147783251,300.1725615763547,0.075,0.0300492610837438,0.025615763546798,1986,6,10,275,3.2854794520547945,3.431205577276071,-0.0699818397450152,44,0.0221550855991943,1.0221550855991943,Toys & Games,HomeEase,35.0,1.0444,277.66,0.075,Stable Replenishment,Maintain automated baseline replenishment cadence
P00010,Smartwatch,5983,1901275.59,1989,955.8952187028658,312.7875263951735,0.072146807440925,0.0341880341880341,0.0266465560583207,1946,6,10,247,3.278356164383561,3.395252350620378,-0.1628595836351142,41,0.0210688591983556,1.0220966084275436,Books,ReadMore,49.0,1.0357,290.22,0.0721,Overstock Risk,Deploy targeted promotional markdown to stimulate velocity
P00011,Fitness Band,5724,1784149.5,1943,918.2447246525992,306.20210499227994,0.0708955223880597,0.0293360782295419,0.026762738033968,1908,6,10,320,3.1364383561643834,3.4323846987217568,0.1336283872971504,33,0.0172955974842767,1.0183438155136268,Home & Kitchen,Zenith,50.0,1.0944,284.49,0.0709,High Stockout Risk,Increase safety stock buffer & prioritize supplier SLA
P00012,Noise Cancelling Headphones,6091,1881108.57,2031,926.198212703102,304.27543574593795,0.0774741506646971,0.0379123584441162,0.0285573609059576,1997,6,10,297,3.3375342465753426,3.458088574945028,-0.0112461008044656,34,0.0170255383074611,1.0170255383074611,Books,KiddoFun,68.0,1.0361,280.7,0.0775,Stable Replenishment,Maintain automated baseline replenishment cadence
P00013,Action Camera,6104,1829029.24,2024,903.6705731225296,295.1035128458498,0.0737154150197628,0.0296442687747035,0.0276679841897233,1976,6,10,298,3.344657534246575,3.4191965182729085,-0.0100298529197612,48,0.0242914979757085,1.0242914979757085,Toys & Games,ReadMore,53.0,1.0223,273.35,0.0737,Stable Replenishment,Maintain automated baseline replenishment cadence
P00014,Drone Mini,5975,1816203.39,2026,896.4478726554787,302.5145755182626,0.0743583415597236,0.0301085883514313,0.0236920039486673,1988,6,10,260,3.2739726027397262,3.483593572287179,-0.1176197117619712,38,0.0191146881287726,1.0191146881287727,Books,BrightLux,29.0,1.064,280.02,0.0744,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00015,Instant Pot,6016,1838639.12,2016,912.0233730158732,303.74130456349206,0.0723462301587301,0.0307539682539682,0.0243055555555555,1975,6,10,257,3.2964383561643835,3.4412859414099204,-0.1337451979905437,40,0.020253164556962,1.020759493670886,Electronics,ReadMore,32.0,1.0439,281.77,0.0723,Overstock Risk,Deploy targeted promotional markdown to stimulate velocity
P00016,Air Fryer,5956,1789927.34,2007,891.8422222222223,300.67906826108623,0.0766567015445939,0.0288988540109616,0.0318883906327852,1959,6,10,283,3.2635616438356165,3.4857343082036043,-0.0364991418550855,48,0.0245022970903522,1.024502297090352,Toys & Games,Apex,34.0,1.0681,277.63,0.0767,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00017,Electric Kettle,6165,1905751.79,2054,927.8246299902628,304.3522005842259,0.0721518987341772,0.0262901655306718,0.0340798442064264,2020,6,10,290,3.378082191780822,3.574636781302518,-0.0461385960169414,34,0.0168316831683168,1.0168316831683168,Sports & Outdoors,KiddoFun,67.0,1.0582,282.39,0.0722,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00018,Vacuum Cleaner,6139,1855117.83,2017,919.7411155180962,299.0538820029747,0.0733267228557263,0.0267724343083787,0.0337134357957362,1973,6,10,316,3.3638356164383563,3.5281149257221744,0.0437820129952397,44,0.0223010643689812,1.0223010643689812,Home & Kitchen,Zenith,70.0,1.0488,277.13,0.0733,Stable Replenishment,Maintain automated baseline replenishment cadence
P00019,LED Desk Lamp,6344,1921948.41,2098,916.0859914204004,298.77226406101045,0.0762154432793136,0.0338417540514775,0.0276453765490943,2059,6,10,314,3.476164383561644,3.583987074496252,0.0036605016113211,39,0.0189412336085478,1.018941233608548,Books,HomeEase,80.0,1.031,276.0,0.0762,Stable Replenishment,Maintain automated baseline replenishment cadence
P00020,Office Chair,5998,1827426.35,2018,905.56310703667,299.8111645193261,0.0745044598612487,0.0257680872150644,0.0232903865213082,1978,6,10,311,3.2865753424657536,3.462607359147748,0.0514152865770072,40,0.0202224469160768,1.0202224469160768,Electronics,FitLife,61.0,1.0536,277.47,0.0745,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00021,Backpack,5848,1749971.14,1910,916.2152565445026,296.67631937172774,0.0732198952879581,0.0324607329842931,0.0371727748691099,1880,6,10,276,3.2043835616438354,3.4711186935019605,-0.0429776561787504,30,0.0159574468085106,1.0159574468085106,Electronics,ReadMore,23.0,1.0832,274.95,0.0732,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00022,Water Bottle,6275,1895467.95,2088,907.7911637931036,300.156882183908,0.0725335249042145,0.0320881226053639,0.0330459770114942,2048,6,10,297,3.4383561643835616,3.5658986611000736,-0.0402390438247012,40,0.01953125,1.01953125,Books,HomeEase,66.0,1.0371,278.39,0.0725,Stable Replenishment,Maintain automated baseline replenishment cadence
P00023,Cookware Set,6130,1877038.73,2058,912.0693537414966,303.3864285714285,0.0728862973760933,0.0354713313896987,0.0306122448979591,2023,6,10,337,3.3589041095890413,3.4820905988668103,0.1147815841943085,35,0.0173010380622837,1.0173010380622838,Books,ReadMore,82.0,1.0367,281.27,0.0729,Stable Replenishment,Maintain automated baseline replenishment cadence
P00024,Yoga Mat,6077,1847898.09,2041,905.3885791278784,300.54951004409605,0.0733708966193042,0.03968642822146,0.0323370896619304,1999,6,10,278,3.3298630136986302,3.5853795513553512,-0.0723675790320516,39,0.0195097548774387,1.0210105052526264,Sports & Outdoors,UrbanStyle,41.0,1.0767,278.5,0.0734,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00025,Running Shoes,5948,1828658.19,2002,913.4156793206791,302.4734265734266,0.0745504495504495,0.0319680319680319,0.0324675324675324,1962,6,10,285,3.259178082191781,3.3547891244748604,-0.0283848912799821,40,0.0203873598369011,1.020387359836901,Home & Kitchen,Zenith,48.0,1.0293,279.92,0.0746,Stable Replenishment,Maintain automated baseline replenishment cadence
P00026,Sunglasses,5842,1788111.81,1952,916.0408862704918,304.47684938524594,0.0742571721311475,0.03125,0.0353483606557377,1917,6,10,361,3.2010958904109588,3.469257040405174,0.2530430978736353,33,0.0172143974960876,1.0182576943140322,Toys & Games,NexPro,60.0,1.0838,281.87,0.0743,High Stockout Risk,Increase safety stock buffer & prioritize supplier SLA
